MESSSTELLE;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;AVG;MIN;MAX;ANZ
Greifenburger Badesee [tief.St.];Wassertemperatur;�C;0;0;2022;22,8;22,4;23,2;2
Hafnersee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;10;2022;13,096254;9,491361;16,701146;2
Hafnersee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2022;14,35;10,4;18,3;2
Hafnersee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;399;388;410;2
Hafnersee [tief.St.];Ammonium-Stickstoff;mg/l;10;10;2022;2,552;1,439;3,665;2
Hafnersee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2022;0,03;0,03;0,03;2
Hafnersee [tief.St.];Sauerstoffgehalt;mg/l;10;10;2022;0,1;0,1;0,1;2
Hafnersee [tief.St.];Phosphor gesamt;mg/l;0;6;2022;0,0185;0,014;0,023;2
Hafnersee [tief.St.];Phosphor gesamt;mg/l;10;10;2022;0,059;0,039;0,079;2
Hafnersee [tief.St.];Phosphor gesamt;mg/l;0;10;2022;0,0203;0,016889;0,023711;2
Hafnersee [tief.St.];pH-Wert;;1;1;2022;8,12;7,9;8,34;2
Hafnersee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2022;0,904008;0,851663;0,956352;2
Hafnersee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;10;2022;0,825025;0,777254;0,872796;2
Hafnersee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2022;0,0015;0,001;0,002;2
Hafnersee [tief.St.];Sichttiefe;m;0;0;2022;2,8;2,4;3,2;2
Hafnersee [tief.St.];Wassertemperatur;�C;0;0;2022;22,1;17,8;26,4;2
H�rzendorfer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;3;2022;33,75;15,3;54,1;4
H�rzendorfer See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;471,5;351;527;4
H�rzendorfer See [tief.St.];Ammonium-Stickstoff;mg/l;3;3;2022;0,209;0,013;0,664;4
H�rzendorfer See [tief.St.];Nitrat-Stickstoff;mg/l;0;3;2022;1,849469;0,03;3,387375;4
H�rzendorfer See [tief.St.];Sauerstoffgehalt;mg/l;3;3;2022;9,4;0,9;16,6;4
H�rzendorfer See [tief.St.];Phosphor gesamt;mg/l;0;3;2022;0,039906;0,0145;0,077625;4
H�rzendorfer See [tief.St.];pH-Wert;;1;1;2022;8,185;7,93;8,33;4
H�rzendorfer See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;3;2022;3,580954;1,476543;5,146776;4
H�rzendorfer See [tief.St.];Phosphat-Phosphor;mg/l;0;3;2022;0,002969;0,002;0,004875;4
H�rzendorfer See [tief.St.];Sichttiefe;m;0;0;2022;1,5;0,6;2,1;4
H�rzendorfer See [tief.St.];Wassertemperatur;�C;0;0;2022;13,725;4,7;21,9;4
Keutschacher See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2022;4,525;1;11,8;4
Keutschacher See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;15;2022;7,20472;1;13,969231;4
Keutschacher See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;303,5;281;323;4
Keutschacher See [tief.St.];Ammonium-Stickstoff;mg/l;15;15;2022;0,4355;0,15;1,062;4
Keutschacher See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2022;0,078125;0,03;0,128548;4
Keutschacher See [tief.St.];Sauerstoffgehalt;mg/l;15;15;2022;4,35;0,1;10,7;4
Keutschacher See [tief.St.];Phosphor gesamt;mg/l;0;15;2022;0,011935;0,007215;0,021053;4
Keutschacher See [tief.St.];Phosphor gesamt;mg/l;15;15;2022;0,0225;0,007;0,044;4
Keutschacher See [tief.St.];Phosphor gesamt;mg/l;0;6;2022;0,008938;0,00625;0,012833;4
Keutschacher See [tief.St.];pH-Wert;;1;1;2022;8,1625;7,8;8,45;4
Keutschacher See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;15;2022;0,880924;0,42613;1,769551;4
Keutschacher See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2022;0,683576;0,606358;0,736264;4
Keutschacher See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2022;0,001762;0,001;0,003;4
Keutschacher See [tief.St.];Sichttiefe;m;0;0;2022;3,15;1,9;4,2;4
Keutschacher See [tief.St.];Wassertemperatur;�C;0;0;2022;14,275;4,6;24;4
Klopeiner See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2022;2,625;1,8;4;4
Klopeiner See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;250;236;268;4
Klopeiner See [tief.St.];Ammonium-Stickstoff;mg/l;30;30;2022;1,42175;1,295;1,65;4
Klopeiner See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2022;0,03;0,03;0,03;4
Klopeiner See [tief.St.];Sauerstoffgehalt;mg/l;30;30;2022;0,1;0,1;0,1;4
Klopeiner See [tief.St.];Phosphor gesamt;mg/l;0;20;2022;0,008782;0,005764;0,011212;4
Klopeiner See [tief.St.];Phosphor gesamt;mg/l;0;30;2022;0,011043;0,007293;0,015866;4
Klopeiner See [tief.St.];Phosphor gesamt;mg/l;30;30;2022;0,02475;0,014;0,046;4
Klopeiner See [tief.St.];Phosphor gesamt;mg/l;0;6;2022;0,007741;0,005012;0,00969;4
Klopeiner See [tief.St.];pH-Wert;;1;1;2022;8,1375;7,81;8,6;4
Klopeiner See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2022;0,504247;0,207569;0,790908;4
Klopeiner See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;20;2022;0,469424;0,167638;0,819942;4
Klopeiner See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2022;0,001173;0,001;0,001643;4
Klopeiner See [tief.St.];Sichttiefe;m;0;0;2022;6,6;5,2;8;4
Klopeiner See [tief.St.];Wassertemperatur;�C;0;0;2022;14,725;4,6;22,2;4
Kraiger See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2022;4,7;3,2;6,2;2
Kraiger See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;8;2022;4,846829;3,736242;5,957415;4
