MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Hörzendorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;3;2008;0,001688;0,002625;0,002157;2
Hörzendorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;3;2008;0,920936;1,922019;1,421478;2
Hörzendorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;3;3;2008;0,014;0,0941;0,05405;2
Hörzendorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;3;3;2008;1;13;7;2
Keutschacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;2,5;3,7;3,15;4
Keutschacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;5,5;19;12,15;4
Keutschacher See [tief.St.];pH;pH-Wert;;1;1;2008;7,8;8,4;8,075;4
Keutschacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;278;304;296,25;4
Keutschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,00725;0,011417;0,008665;4
Keutschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;15;15;2008;0,007;0,0228;0,013375;4
Keutschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;15;2008;0,007194;0,016759;0,010867;4
Keutschacher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001052;0,0015;0,001276;4
Keutschacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,028742;0,120381;0,078293;4
Keutschacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;15;15;2008;0,25;0,603;0,37425;4
Keutschacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;15;15;2008;0,3;10,5;3,6;4
Keutschacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2008;0,33949;0,79098;0,576951;4
Keutschacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;15;2008;0,381002;0,758777;0,544011;4
Klopeiner See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;7;8,1;7,6;4
Klopeiner See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;6,1;16,9;10,925;4
Klopeiner See [tief.St.];pH;pH-Wert;;1;1;2008;7,8;8,5;8,2;4
Klopeiner See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;224;247;238,5;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,00375;0,010675;0,0083;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;30;30;2008;0,0204;0,111;0,057975;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;30;2008;0,01088;0,020847;0,015501;4
Klopeiner See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001052;0,0015;0,001276;4
Klopeiner See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,00308;0,030658;0,015624;4
Klopeiner See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;30;30;2008;1,44;1,75;1,57275;4
Klopeiner See [tief.St.];O2;Sauerstoffgehalt;mg/l;30;30;2008;0;0;0;4
Klopeiner See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2008;0,14261;0,43536;0,284725;4
Klopeiner See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2008;0,175644;0,438916;0,305167;4
Klopeiner See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;20;2008;0,007735;0,01125;0,009197;4
Kraiger See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;2;2,6;2,3;2
Kraiger See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;14,9;22,4;18,65;2
Kraiger See [tief.St.];pH;pH-Wert;;1;1;2008;8,2;8,4;8,3;2
Kraiger See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;474;487;480,5;2
Kraiger See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,009958;0,012;0,010979;2
Kraiger See [tief.St.];P-ges;Phosphor gesamt;mg/l;8;8;2008;0,0124;0,016;0,0142;2
Kraiger See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001052;0,0015;0,001276;2
Kraiger See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,00308;0,004108;0,003594;2
Kraiger See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;8;8;2008;0,0113;0,122;0,06665;2
Kraiger See [tief.St.];O2;Sauerstoffgehalt;mg/l;8;8;2008;0,2;1,1;0,65;2
Kraiger See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;10;2008;0,009917;0,011554;0,010736;2
Längsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;2,6;4,6;3,625;4
Längsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;5,8;22,6;13,2;4
Längsee [tief.St.];pH;pH-Wert;;1;1;2008;7,8;8,5;8,175;4
Längsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;378;404;395,25;4
Längsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,006558;0,012;0,010319;4
Längsee [tief.St.];P-ges;Phosphor gesamt;mg/l;15;15;2008;0,0166;0,0397;0,032325;4
Längsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;13;2008;0,012239;0,019208;0,016066;4
Längsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001052;0,001708;0,001328;4
Längsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,020492;0,049958;0,03829;4
Längsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;15;15;2008;0,571;1,736;1,33175;4
Längsee [tief.St.];O2;Sauerstoffgehalt;mg/l;15;15;2008;0;0;0;4
Längsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2008;0,3827;0,89331;0,596733;4
Längsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;15;2008;0,358547;0,835833;0,610885;4
Leonharder See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;2,4;3;2,7;2
Leonharder See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;22,5;22,5;22,5;2
Leonharder See [tief.St.];pH;pH-Wert;;1;1;2008;8,1;8,2;8,15;2
Leonharder See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;405;410;407,5;2
Leonharder See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,003368;0,016583;0,009976;2
Leonharder See [tief.St.];P-ges;Phosphor gesamt;mg/l;6;6;2008;0,00279;0,039;0,020895;2
Leonharder See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001289;0,00325;0,00227;2
Leonharder See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,027617;0,224768;0,126193;2
Leonharder See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;6;6;2008;0,143;0,2552;0,1991;2
Leonharder See [tief.St.];O2;Sauerstoffgehalt;mg/l;6;6;2008;0,4;1,4;0,9;2
Leonharder See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2008;0,003077;0,015006;0,009042;2
Linsendorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;3,7;5;4,35;2
Linsendorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;17,1;19,3;18,2;2
Linsendorfer See [tief.St.];pH;pH-Wert;;1;1;2008;7,8;8,3;8,05;2
Linsendorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;349;360;354,5;2
