MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Gösselsdorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;1,9;2;1,95;2
Gösselsdorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;21,7;23,3;22,5;2
Gösselsdorfer See [tief.St.];pH;pH-Wert;;1;1;2009;7,9;7,9;7,9;2
Gösselsdorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;327;330;328,5;2
Gösselsdorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2009;0,0118;0,0136;0,0127;2
Gösselsdorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2009;0,001052;0,0048;0,002926;2
Gösselsdorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2009;0,00719;0,022;0,014595;2
Gösselsdorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2009;0,008;0,0098;0,0089;2
Gösselsdorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2009;7,2;8,2;7,7;2
Greifenburger Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;5,6;6,8;6,2;2
Greifenburger Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;20,5;24,4;22,45;2
Greifenburger Badesee [tief.St.];pH;pH-Wert;;1;1;2009;8,4;8,6;8,5;2
Greifenburger Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;279;306;292,5;2
Greifenburger Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,00765;0,011717;0,009684;2
Greifenburger Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;12;12;2009;0,0106;0,0314;0,021;2
Greifenburger Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,001792;0,001422;2
Greifenburger Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,659376;0,978303;0,81884;2
Greifenburger Badesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;12;12;2009;0,315;0,683;0,499;2
Greifenburger Badesee [tief.St.];O2;Sauerstoffgehalt;mg/l;12;12;2009;0,2;2,7;1,45;2
Hafnersee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;1,9;3,4;2,733333;3
Hafnersee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;5,7;22,2;16,1;3
Hafnersee [tief.St.];pH;pH-Wert;;1;1;2009;7,4;8,1;7,833333;3
Hafnersee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;307;387;357;3
Hafnersee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,007217;0,024742;0,015556;3
