Meßstelle;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Hafnersee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;15,4;17,8;16,6;2
Hörzendorfer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;3;2016;18;20;19;2
Hörzendorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;482;522;502;2
Hörzendorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;3;3;2016;0,0509;0,1229;0,0869;2
Hörzendorfer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;3;2016;2,384375;2,433351;2,408863;2
Hörzendorfer See [tief.St.];O2;Sauerstoffgehalt;mg/l;3;3;2016;6,4;8,1;7,25;2
Hörzendorfer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;3;2016;0,031688;0,034225;0,032957;2
Hörzendorfer See [tief.St.];pH;pH-Wert;;1;1;2016;7,8;8,3;8,05;2
Hörzendorfer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;3;2016;0;0;0;0
Hörzendorfer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;3;2016;0,002188;0,002475;0,002332;2
Hörzendorfer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;0,9;1,3;1,1;2
Hörzendorfer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;15,8;19,2;17,5;2
Keutschacher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;1;5;2,321429;4
Keutschacher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;15;2016;1;4,272727;2,337413;4
Keutschacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;299;327;315,5;4
Keutschacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;15;15;2016;0,516;1,3725;0,813625;4
Keutschacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,082;0,237655;0,159026;4
Keutschacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;15;15;2016;0,1;1,7;0,825;4
Keutschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,007212;0,009548;0,008462;4
Keutschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;15;15;2016;0,0132;0,0404;0,024125;4
Keutschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;15;2016;0,008618;0,010313;0,009556;4
Keutschacher See [tief.St.];pH;pH-Wert;;1;1;2016;8;8,4;8,175;4
Keutschacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;15;2016;0,316116;1,341025;0,626998;4
Keutschacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,232037;1,936529;0,736507;4
Keutschacher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,001719;0,001258;4
Keutschacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,8;7,5;5,7;4
Keutschacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;5,2;23,7;14,25;4
Klopeiner See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;0,5;9,25;3,5625;4
Klopeiner See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;235;270;254;4
Klopeiner See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;30;30;2016;1,087;2,1;1,558;4
Klopeiner See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,00565;0,062976;0,026283;4
Klopeiner See [tief.St.];O2;Sauerstoffgehalt;mg/l;30;30;2016;0,1;0,1;0,1;4
